2023-03-20 15:58:49.499 [DEBU] {705f6735a9114e1793150b4bea7065a8} [  0 ms] [default] [gf-shop] [rows:0  ] [txid:3] BEGIN
2023-03-20 15:58:49.501 [DEBU] {705f6735a9114e1793150b4bea7065a8} [  2 ms] [default] [gf-shop] [rows:1  ] [txid:3] UPDATE `position_info` SET `deleted_at`='2023-03-20 15:58:49' WHERE (`id`=4) AND `deleted_at` IS NULL
2023-03-20 15:58:49.505 [DEBU] {705f6735a9114e1793150b4bea7065a8} [  3 ms] [default] [gf-shop] [rows:0  ] [txid:3] COMMIT
2023-03-20 17:25:01.914 [DEBU] {b0ef37815d164e17370f332219b6df91} [  1 ms] [default] [gf-shop] [rows:0  ] [txid:1] BEGIN
2023-03-20 17:25:01.922 [DEBU] {b0ef37815d164e17370f332219b6df91} [  6 ms] [default] [gf-shop] [rows:9  ] [txid:1] SHOW FULL COLUMNS FROM `position_info`
2023-03-20 17:25:01.927 [DEBU] {b0ef37815d164e17370f332219b6df91} [  4 ms] [default] [gf-shop] [rows:1  ] [txid:1] UPDATE `position_info` SET `goods_name`='住',`goods_id`=68,`updated_at`='2023-03-20 17:25:01',`pic_url`='http://dummyimage.com/160x600',`link`='http://ollq.hn/kcsnsqoh',`sort`=1 WHERE (`id`=5) AND `deleted_at` IS NULL
2023-03-20 17:25:01.931 [DEBU] {b0ef37815d164e17370f332219b6df91} [  3 ms] [default] [gf-shop] [rows:0  ] [txid:1] COMMIT
2023-03-20 17:25:09.027 [DEBU] {98e5ba285f164e17380f3322621b3ef1} [ 11 ms] [default] [gf-shop] [rows:0  ] [txid:2] BEGIN
2023-03-20 17:25:09.030 [DEBU] {98e5ba285f164e17380f3322621b3ef1} [  3 ms] [default] [gf-shop] [rows:0  ] [txid:2] UPDATE `position_info` SET `pic_url`='http://dummyimage.com/160x600',`sort`=1,`updated_at`='2023-03-20 17:25:09',`link`='http://ollq.hn/kcsnsqoh',`goods_name`='住',`goods_id`=68 WHERE (`id`=15) AND `deleted_at` IS NULL
2023-03-20 17:25:09.031 [DEBU] {98e5ba285f164e17380f3322621b3ef1} [  1 ms] [default] [gf-shop] [rows:0  ] [txid:2] COMMIT
2023-03-20 17:25:10.120 [DEBU] {b0f14f6a5f164e17390f3322b769aadf} [  2 ms] [default] [gf-shop] [rows:0  ] [txid:3] BEGIN
2023-03-20 17:25:10.125 [DEBU] {b0f14f6a5f164e17390f3322b769aadf} [  4 ms] [default] [gf-shop] [rows:0  ] [txid:3] UPDATE `position_info` SET `sort`=1,`goods_name`='住',`goods_id`=68,`pic_url`='http://dummyimage.com/160x600',`updated_at`='2023-03-20 17:25:10',`link`='http://ollq.hn/kcsnsqoh' WHERE (`id`=15) AND `deleted_at` IS NULL
2023-03-20 17:25:10.126 [DEBU] {b0f14f6a5f164e17390f3322b769aadf} [  0 ms] [default] [gf-shop] [rows:0  ] [txid:3] COMMIT
2023-03-20 17:25:11.004 [DEBU] {e085f29e5f164e173a0f332296960ce3} [  3 ms] [default] [gf-shop] [rows:0  ] [txid:4] BEGIN
2023-03-20 17:25:11.009 [DEBU] {e085f29e5f164e173a0f332296960ce3} [  5 ms] [default] [gf-shop] [rows:0  ] [txid:4] UPDATE `position_info` SET `goods_id`=68,`pic_url`='http://dummyimage.com/160x600',`updated_at`='2023-03-20 17:25:11',`link`='http://ollq.hn/kcsnsqoh',`sort`=1,`goods_name`='住' WHERE (`id`=15) AND `deleted_at` IS NULL
2023-03-20 17:25:11.009 [DEBU] {e085f29e5f164e173a0f332296960ce3} [  0 ms] [default] [gf-shop] [rows:0  ] [txid:4] COMMIT
2023-03-20 17:27:55.593 [DEBU] {00c204f185164e17c4fa537ae9cadfa4} [  5 ms] [default] [gf-shop] [rows:0  ] [txid:1] BEGIN
2023-03-20 17:27:55.607 [DEBU] {00c204f185164e17c4fa537ae9cadfa4} [ 13 ms] [default] [gf-shop] [rows:9  ] [txid:1] SHOW FULL COLUMNS FROM `position_info`
